GeneSymbol,17-002,17-003,17-004
znf76,0.464879699,,
znf761,0.335284904,,
znf763,0.447184623,,
znf764,0.579456824,,
znf765,0.575832595,,
znf766,0.604752271,,
znf767,0.329854169,,
znf768,0.653693135,,
znf77,0.484509885,,
znf770,0.499308204,,
znf771,0.243389531,,
znf772,0.674734384,,
znf773,0.917281326,,
znf774,0.493326012,,
znf775,0.428496705,,
znf776,0.457709265,,
znf777,0.597323538,,
znf778,0.442463962,,
znf780a,0.693598276,,
znf780b,0.445157751,,
znf781,0.628967851,,
znf782,0.592820438,,
znf783,0.880844819,,
znf784,0.237435306,,
znf785,0.929796672,,
znf786,0.921068198,,
znf787,0.904623379,,
znf788,0.492003537,,
znf789,0.615330238,,
znf79,0.597666387,,
znf790,0.686698201,,
znf791,0.916632981,,
znf792,0.495412808,,
znf793,0.490589752,,
znf799,0.512346314,,
znf8,0.479577978,,
znf80,0.333680739,,
znf800,0.465631443,,
znf804a,0.773054984,,
znf804b,0.671860987,,
znf805,0.365985052,,
znf806,0.464865307,,
znf807,0.561068627,,
znf808,0.603755385,,
znf81,0.70544457,,
znf812,0.519606193,,
znf813,0.515842591,,
znf815,0.342947798,,
znf816a,0.824578918,,
znf818,0.47116527,,
znf821,0.012670261,,
znf823,0.537641162,,
znf826,0.68516827,,
znf827,0.617664649,,
znf828,0.626961828,,
znf829,0.586048876,,
znf83,0.484291688,,
znf830,0.801183435,,
znf831,0.163874149,,
znf833,0.638764344,,
znf835,0.480622967,,
znf836,0.679515529,,
znf837,0.582175718,,
znf839,0.112021717,,
znf84,0.529402083,,
znf840,0.614039187,,
znf841,0.340233705,,
znf843,0.525660684,,
znf844,0.292450709,,
znf845,0.799557897,,
znf846,0.490579216,,
znf85,0.609654988,,
znf860,0.853925129,,
znf862,0.381429295,,
znf878,0.556407429,,
znf90,0.52391274,,
znf91,0.756827903,,
znf92,0.792324938,,
znf93,0.931882634,,
znf98,0.628537534,,
znf99,0.540234341,,
znfx1,0.322094331,,
znhit1,0.551960976,,
znhit2,0.482048642,,
znhit3,0.057395087,,
znhit6,0.222068154,,
znrd1,0.204437116,,
znrf1,0.675111488,,
znrf2,0.629183274,,
znrf3,0.675617408,,
znrf4,0.624470605,,
zp1,0.639062965,,
zp2,0.681383681,,
zp3,0.013995015,,
zp4,0.628155236,,
zpbp,0.668780401,,
zpbp2,0.353499633,,
zpld1,0.665259081,,
zranb1,0.08237028,,
zranb2,0.32746876,,
zranb3,0.518948953,,
zrsr2,0.080807938,,
zscan1,0.641246027,,
zscan10,0.620995096,,
zscan12,0.529282372,,
zscan12l1,0.570141338,,
zscan16,0.426886581,,
zscan18,0.095949117,,
zscan2,0.380396712,,
zscan20,0.483508746,,
zscan21,0.66903759,,
zscan22,0.667795979,,
zscan23,0.52491145,,
zscan29,0.53826812,,
zscan4,0.683530301,,
zscan5a,0.633444362,,
zscan5b,0.641570054,,
zswim1,0.431935304,,
zswim2,0.418678289,,
zswim3,0.719227085,,
zswim4,0.416499489,,
zswim5,0.442571692,,
zswim6,0.87836853,,
zswim7,0.353839312,,
zufsp,0.412052355,,
zw10,0.382929028,,
zwilch,2.39E-21,,
zwint,0.433023454,,
zxda,0.331777072,,
zxdb,0.340629454,,
zxdc,0.118366712,,
zyg11a,0.759684623,,
zyg11b,0.629371851,,
zyx,0.771535163,,
zzef1,0.129505177,,
zzz3,0.619875134,,
